Nome_dependencia_Administrativa;Codigo_Rede;Diretoria_de_ensino;Categoria;Tipo_Escola;CodigoEscola;Codigo_MEC;Nome_Escola;Codigo_Municipio;Municipio;Bairro;Codigo_Distrito;Distrito;CEP;Complemento;Endereco;Numero;Ddd;Fone1;Fone2;Email;Zona;Creche;Pre;1º Ano Ef;2º Ano Ef;3º Ano Ef;4º Ano Ef;5º Ano Ef;6º Ano Ef;7º Ano Ef;8º Ano Ef;9º Ano Ef;1ª Serie Em;2ª Serie Em;3ª Serie Em;4ª Serie Em;Ns EM;Educ.Prof;Educ.Prof_Ead;Eja 1ª a 4ª Ef;Eja Semi 1ª a 4ª Ef;Eja Ead 1ª a 4ª Ef;Eja 5ª a 8ª Ef;Eja Semi 5ª a 8ª Ef;Eja Ead 5ª a 8ª Ef;Eja Em;Eja Semi Em;Eja Ead Em;Eja Projovem Urbano Ef;Eja FIC Prof Ef;Eja FIC Em;Eja FIC Prof Em;Educ.Especial;Ativ_complementar;AEE;Cl-Creche;Cl-Pre;Cl-1º Ano Ef;Cl-2º Ano Ef;Cl-3º Ano Ef;Cl-4º Ano Ef;Cl-5º Ano Ef;Cl-6º Ano Ef;Cl-7º Ano Ef;Cl-8º Ano Ef;Cl-9º Ano Ef;Cl-1ª Serie Em;Cl-2ª Serie Em;Cl-3ª Serie Em;Cl-4ª Serie Em;Cl-Ns EM;Cl-Educ.Prof;Cl-Educ.Prof_Ead;Cl-Eja 1ª a 4ª Ef;Cl-Eja Semi 1ª a 4ª Ef;Cl-Eja Ead 1ª a 4ª Ef;Cl-Eja 5ª a 8ª Ef;Cl-Eja Semi 5ª a 8ª Ef;Cl-Eja Ead 5ª a 8ª Ef;Cl-Eja Em;Cl-Eja Semi Em;Cl-Eja Ead Em;Cl-Eja Projovem Urbano Ef;Cl-Eja FIC Em;Cl-Eja FIC Prof Ef;Cl-Eja FIC Prof Em;Cl-Educ.Especial;Cl-Ativ_complementar;Cl-AEE
ESTADUAL - SE;20205;SAO JOSE DOS CAMPOS;1;8;46826;35046826;ADELIA CHUCRI NEME;645;SAO JOSE DOS CAMPOS;VILA INDUSTRIAL;1;SAO JOSE DOS CAMPOS;12220000;AVENIDA;AVENIDA PRESIDENTE JUSCELINO KUBITSCHEK;6701;12;39293509;39293816;E046826A@EDUCACAO.SP.GOV.BR;1;0;0;32;41;67;27;40;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;0;0;3;4;6;2;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
ESTADUAL - SE;20205;SAO JOSE DOS CAMPOS;1;8;13481;35013481;ALCEU MAYNARD ARAUJO PROFESSOR;645;SAO JOSE DOS CAMPOS;JARDIM MOTORAMA;1;SAO JOSE DOS CAMPOS;12224100;RUA;MIOSOTIS ;75;12;39295394;39295576;E013481A@EDUCACAO.SP.GOV.BR;1;0;0;0;0;0;0;0;120;107;103;149;360;299;245;0;0;0;0;0;0;0;0;0;0;118;0;0;0;0;0;0;0;195;23;0;0;0;0;0;0;0;6;6;6;9;16;10;10;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;9;5
ESTADUAL - SE;20205;SAO JOSE DOS CAMPOS;1;8;917597;35917597;AMINTAS ROCHA BRITO PROFESSOR;645;SAO JOSE DOS CAMPOS;JARDIM CASTANHEIRA;1;SAO JOSE DOS CAMPOS;12225290;RUA;ANIBAL FERRI ;193;12;39071375;39072011;E917597A@EDUCACAO.SP.GOV.BR;1;0;0;149;144;140;131;170;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;130;0;0;0;8;6;5;6;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0
ESTADUAL - SE;20205;SAO JOSE DOS CAMPOS;1;8;13572;35013572;ANA CANDIDA DE BARROS MOLINA PROFESSORA;645;SAO JOSE DOS CAMPOS;VILA INDUSTRIAL;1;SAO JOSE DOS CAMPOS;12220280;PREDIO;SAIGIRO NAKAMURA ;300;12;39027356;39051899;E013572A@EDUCACAO.SP.GOV.BR;1;0;0;0;0;0;0;0;30;24;48;61;182;191;173;0;0;0;0;0;0;0;0;0;0;369;0;0;0;0;0;0;0;0;12;0;0;0;0;0;0;0;3;2;2;3;11;12;10;0;0;0;0;0;0;0;0;0;0;12;0;0;0;0;0;0;0;0;4
ESTADUAL - SE;20205;SAO JOSE DOS CAMPOS;1;8;917448;35917448;ANA HERONDINA SOARES SCHYCHOF PROFESSORA;645;SAO JOSE DOS CAMPOS;CIDADE VISTA VERDE;1;SAO JOSE DOS CAMPOS;12223600;RUA;CIDADE DE WASHINGTON ;163;12;39293693;39294402;E917448A@EDUCACAO.SP.GOV.BR;1;0;0;58;102;103;127;90;87;54;68;68;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;6;5;6;3;3;3;4;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ESTADUAL - SE;20205;SAO JOSE DOS CAMPOS;1;8;905112;35905112;ARLETE ELOIZA FERREIRA TEIXEIRA PROFESSORA;645;SAO JOSE DOS CAMPOS;JARDIM NOVA DETROIT;1;SAO JOSE DOS CAMPOS;12224580;RUA;ORLANDO SILVA ;35;12;39122553;39295568;E905112A@EDUCACAO.SP.GOV.BR;1;0;0;93;87;83;77;88;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;3;3;4;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ESTADUAL - SE;20205;SAO JOSE DOS CAMPOS;1;8;13730;35013730;ARMANDO D OLIVEIRA COBRA;645;SAO JOSE DOS CAMPOS;CENTRO - DISTRITO DE SÃO FRANCISCO XAVIER;3;SAO FRANCISCO XAVIER;12249000;;TREZE DE MAIO;295;12;39261154;39261255;E013730A@EDUCACAO.SP.GOV.BR;1;0;0;0;0;0;0;0;0;0;0;0;48;49;51;0;0;0;0;0;0;0;0;0;0;44;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;3;3;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0
ESTADUAL - SE;20205;SAO JOSE DOS CAMPOS;1;8;47958;35047958;AYR PICANCO BARBOSA DE ALMEIDA PROFESSORA;645;SAO JOSE DOS CAMPOS;BOSQUE DOS EUCALIPTOS;1;SAO JOSE DOS CAMPOS;12233250;RUA;GALILEIA ;365;12;39171629;39361956;E047958A@EDUCACAO.SP.GOV.BR;1;0;0;89;98;91;98;95;109;100;79;135;142;149;134;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;127;0;0;0;3;3;4;3;4;4;3;5;5;6;5;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0
ESTADUAL - SE;20205;SAO JOSE DOS CAMPOS;2;8;315114;35315114;BAIRRO BENGALAR;645;SAO JOSE DOS CAMPOS;BENGALAR;1;SAO JOSE DOS CAMPOS;12209000;AVENIDA;TRAVESSA SANTO IVO;11;12;39489009;;E013500A@EDUCACAO.SP.GOV.BR;2;0;0;15;12;12;19;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ESTADUAL - SE;20205;SAO JOSE DOS CAMPOS;2;8;315102;35315102;BAIRRO BOM SUCESSO;645;SAO JOSE DOS CAMPOS;BOM SUCESSO;1;SAO JOSE DOS CAMPOS;12211843;TRAVESSA;ESTRADA DO BOM SUCESSO;SN;12;996089208;;E013500A@EDUCACAO.SP.GOV.BR;2;0;0;9;10;7;11;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
