Nome_dependencia_Administrativa;Diretoria_de_ensino;Nome_Escola;Codigo_Municipio;Municipio;Bairro;Distrito;CEP;Complemento;Endereco;Numero;Ddd;Fone1;Fone2;Email
ESTADUAL - SE;SAO JOSE DOS CAMPOS;ADELIA CHUCRI NEME;645;SAO JOSE DOS CAMPOS;VILA INDUSTRIAL;SAO JOSE DOS CAMPOS;12220000;AVENIDA;AVENIDA PRESIDENTE JUSCELINO KUBITSCHEK;6701;12;39293509;39293816;E046826A@EDUCACAO.SP.GOV.BR
ESTADUAL - SE;SAO JOSE DOS CAMPOS;ALCEU MAYNARD ARAUJO PROFESSOR;645;SAO JOSE DOS CAMPOS;JARDIM MOTORAMA;SAO JOSE DOS CAMPOS;12224100;RUA;MIOSOTIS ;75;12;39295394;39295576;E013481A@EDUCACAO.SP.GOV.BR
ESTADUAL - SE;SAO JOSE DOS CAMPOS;AMINTAS ROCHA BRITO PROFESSOR;645;SAO JOSE DOS CAMPOS;JARDIM CASTANHEIRA;SAO JOSE DOS CAMPOS;12225290;RUA;ANIBAL FERRI ;193;12;39071375;39072011;E917597A@EDUCACAO.SP.GOV.BR
ESTADUAL - SE;SAO JOSE DOS CAMPOS;ANA CANDIDA DE BARROS MOLINA PROFESSORA;645;SAO JOSE DOS CAMPOS;VILA INDUSTRIAL;SAO JOSE DOS CAMPOS;12220280;PREDIO;SAIGIRO NAKAMURA ;300;12;39027356;39051899;E013572A@EDUCACAO.SP.GOV.BR
ESTADUAL - SE;SAO JOSE DOS CAMPOS;ANA HERONDINA SOARES SCHYCHOF PROFESSORA;645;SAO JOSE DOS CAMPOS;CIDADE VISTA VERDE;SAO JOSE DOS CAMPOS;12223600;RUA;CIDADE DE WASHINGTON ;163;12;39293693;39294402;E917448A@EDUCACAO.SP.GOV.BR
ESTADUAL - SE;SAO JOSE DOS CAMPOS;ARLETE ELOIZA FERREIRA TEIXEIRA PROFESSORA;645;SAO JOSE DOS CAMPOS;JARDIM NOVA DETROIT;SAO JOSE DOS CAMPOS;12224580;RUA;ORLANDO SILVA ;35;12;39122553;39295568;E905112A@EDUCACAO.SP.GOV.BR
ESTADUAL - SE;SAO JOSE DOS CAMPOS;ARMANDO D OLIVEIRA COBRA;645;SAO JOSE DOS CAMPOS;CENTRO - DISTRITO DE SÃO FRANCISCO XAVIER;SAO FRANCISCO XAVIER;12249000;;TREZE DE MAIO;295;12;39261154;39261255;E013730A@EDUCACAO.SP.GOV.BR
ESTADUAL - SE;SAO JOSE DOS CAMPOS;AYR PICANCO BARBOSA DE ALMEIDA PROFESSORA;645;SAO JOSE DOS CAMPOS;BOSQUE DOS EUCALIPTOS;SAO JOSE DOS CAMPOS;12233250;RUA;GALILEIA ;365;12;39171629;39361956;E047958A@EDUCACAO.SP.GOV.BR
ESTADUAL - SE;SAO JOSE DOS CAMPOS;BAIRRO BENGALAR;645;SAO JOSE DOS CAMPOS;BENGALAR;SAO JOSE DOS CAMPOS;12209000;AVENIDA;TRAVESSA SANTO IVO;11;12;39489009;;E013500A@EDUCACAO.SP.GOV.BR
ESTADUAL - SE;SAO JOSE DOS CAMPOS;BAIRRO BOM SUCESSO;645;SAO JOSE DOS CAMPOS;BOM SUCESSO;SAO JOSE DOS CAMPOS;12211843;TRAVESSA;ESTRADA DO BOM SUCESSO;SN;12;996089208;;E013500A@EDUCACAO.SP.GOV.BR
ESTADUAL - SE;SAO JOSE DOS CAMPOS;BAIRRO DAS PERNAMBUCANAS;645;SAO JOSE DOS CAMPOS;CAPUAVA;SAO JOSE DOS CAMPOS;12225000;AVENIDA;R HONDURAS;197;12;39441424;39441815;E013791A@EDUCACAO.SP.GOV.BR
ESTADUAL - SE;SAO JOSE DOS CAMPOS;BAIRRO TURVO DE BAIXO;645;SAO JOSE DOS CAMPOS;TURVO;SAO JOSE DOS CAMPOS;12209000;AVENIDA;ESTRADA MUNICIPAL DO TURVO;SN;12;39225990;39234690;E013500A@EDUCACAO.SP.GOV.BR
ESTADUAL - SE;SAO JOSE DOS CAMPOS;BENEDITO MATARAZZO DEPUTADO;645;SAO JOSE DOS CAMPOS;JARDIM AMERICA;SAO JOSE DOS CAMPOS;12235430;RUA;MINDANAU ;111;12;39331066;39347767;E001557A@EDUCACAO.SP.GOV.BR
ESTADUAL - SE;SAO JOSE DOS CAMPOS;CEEJA DE SAO JOSE DOS CAMPOS;645;SAO JOSE DOS CAMPOS;VILA NOVA CRISTINA;SAO JOSE DOS CAMPOS;12211139;RUA;CLAUDINO PRISCO ;343;12;39218470;39226807;E980195A@EDUCACAO.SP.GOV.BR
ESTADUAL - SE;SAO JOSE DOS CAMPOS;CEL JTO A EE ESTEVAN FERRI PROFESSOR;645;SAO JOSE DOS CAMPOS;MONTE CASTELO;SAO JOSE DOS CAMPOS;12215110;RUA;CANTIDIO MIRAGAIA ;100;12;39411766;39419795;E023462A@EDUCACAO.SP.GOV.BR
ESTADUAL - SE;SAO JOSE DOS CAMPOS;CEL JTO A EE JOSE VIEIRA MACEDO PROF;645;SAO JOSE DOS CAMPOS;JARDIM SATELITE;SAO JOSE DOS CAMPOS;12230750;RUA;IPIAU ;162;12;39315911;39317542;E013560A@EDUCACAO.SP.GOV.BR
ESTADUAL - SE;SAO JOSE DOS CAMPOS;CENTRO ATEND SOCIOEDUC ADOLESC SAO JOSE DOS CAMPOS CI;645;SAO JOSE DOS CAMPOS;TAMOIOS;SAO JOSE DOS CAMPOS;12233000;AVENIDA;RODOVIA TAMOIOS;KM 12;12;39210167;39234800;PEGAGCSETAMOIOS@CASA.SP.GOV.BR
ESTADUAL - SE;SAO JOSE DOS CAMPOS;CENTRO DE RESSOCIALIZACAO FEMININO DE SAO JOSE DOS CAMPOS;645;SAO JOSE DOS CAMPOS;CENTRO;SAO JOSE DOS CAMPOS;12245681;TRAVESSA;FRANCISCO ALMADA ;81;12;39112201;39428997;VERABR77@GMAIL.COM
