Nome dependencia Administrativa;Codigo Rede;Diretoria de ensino;Categoria;Tipo Escola;Codigo_Escola;Codigo_MEC;Nome_Escola;Codigo_Municipio;Municipio;Bairro;Codigo_Distrito;Distrito;CEP;Complemento;Endereco;Numero;Ddd;Fone1;Fone2;Email;Zona;Creche;Pre;1º Ano Ef;2º Ano Ef;3º Ano Ef;4º Ano Ef;5º Ano Ef;6º Ano Ef;7º Ano Ef;8º Ano Ef;9º Ano Ef;1ª Serie Em;2ª Serie Em;3ª Serie Em;4ª Serie Em;Ns EM;Educ.Prof;Educ.Prof_Ead;Eja 1ª a 4ª Ef;Eja Semi 1ª a 4ª Ef;Eja Ead 1ª a 4ª Ef;Eja 5ª a 8ª Ef;Eja Semi 5ª a 8ª Ef;Eja Ead 5ª a 8ª Ef;Eja Em;Eja Semi Em;Eja Ead Em;Eja Projovem Urbano Ef;Eja FIC Prof Ef;Eja FIC Em;Eja FIC Prof Em;Educ.Especial;Ativ_complementar;AEE;Cl-Creche;Cl-Pre;Cl-1º Ano Ef;Cl-2º Ano Ef;Cl-3º Ano Ef;Cl-4º Ano Ef;Cl-5º Ano Ef;Cl-6º Ano Ef;Cl-7º Ano Ef;Cl-8º Ano Ef;Cl-9º Ano Ef;Cl-1ª Serie Em;Cl-2ª Serie Em;Cl-3ª Serie Em;Cl-4ª Serie Em;Cl-Ns EM;Cl-Educ.Prof;Cl-Educ.Prof_Ead;Cl-Eja 1ª a 4ª Ef;Cl-Eja Semi 1ª a 4ª Ef;Cl-Eja Ead 1ª a 4ª Ef;Cl-Eja 5ª a 8ª Ef;Cl-Eja Semi 5ª a 8ª Ef;Cl-Eja Ead 5ª a 8ª Ef;Cl-Eja Em;Cl-Eja Semi Em;Cl-Eja Ead Em;Cl-Eja Projovem Urbano Ef;Cl-Eja FIC Em;Cl-Eja FIC Prof Ef;Cl-Eja FIC Prof Em;Cl-Educ.Especial;Cl-Ativ_complementar;Cl-AEE
MUNICIPAL;20205;SAO JOSE DOS CAMPOS;1;0;90025;35090025;ALADIR MAIA RIBEIRO GOMES NEI;645;SAO JOSE DOS CAMPOS;JARDIM SATELITE;1;SAO JOSE DOS CAMPOS;12230060;RUA;PORTO NOVO ;45;12;39316902;;NEIALADIR@SJC.SP.GOV.BR;1;32;72;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
MUNICIPAL;20205;SAO JOSE DOS CAMPOS;1;0;92236;35092236;ALTO DA PONTE NEI;645;SAO JOSE DOS CAMPOS;ALTO DA PONTE;1;SAO JOSE DOS CAMPOS;12212430;RUA;ITARARE ;116;12;39416097;;EMEIPADREBONAFE@SJC.SP.GOV.BR;1;12;69;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
MUNICIPAL;20205;SAO JOSE DOS CAMPOS;1;0;241982;35241982;ALVARO GONCALVES PROF EMEF;645;SAO JOSE DOS CAMPOS;CAMPO DOS ALEMAES;1;SAO JOSE DOS CAMPOS;12239740;RUA;RUA ALBERTINA PEREIRA LIMA;151;12;39660324;39661278;EMEFALVAROGONCALVES@SJC.SP.GOV.BR;1;0;0;90;82;90;90;90;90;90;90;89;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;393;13;0;0;4;4;6;5;5;6;3;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;28;2
MUNICIPAL;20205;SAO JOSE DOS CAMPOS;1;0;56790;35056790;ANA BERLING MACEDO PROFA EMEF;645;SAO JOSE DOS CAMPOS;ALTO DA PONTE;1;SAO JOSE DOS CAMPOS;12212500;RUA;RUA ALZIRO LEBRAO;318;12;39216839;;EMEFANABERLING@SJC.SP.GOV.BR;1;0;0;91;90;71;90;60;90;88;90;119;0;0;0;0;0;0;0;49;0;0;127;0;0;0;0;0;0;0;0;0;0;145;16;0;0;6;4;4;5;3;4;4;6;7;0;0;0;0;0;0;0;2;0;0;6;0;0;0;0;0;0;0;0;0;0;14;2
MUNICIPAL;20205;SAO JOSE DOS CAMPOS;1;0;62467;35062467;ANA ISABEL BARBOSA PROFA NEI;645;SAO JOSE DOS CAMPOS;BUQUIRINHA;1;SAO JOSE DOS CAMPOS;12213790;RUA;BENEDITO DE OLIVEIRA E SILVA ;115;12;39481313;;NEIANAISABEL@SJC.SP.GOV.BR;1;21;118;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
MUNICIPAL;20205;SAO JOSE DOS CAMPOS;1;0;89624;35089624;ANA LUCIA DE CASTRO MICHELETO PROFA EMEI;645;SAO JOSE DOS CAMPOS;VILA TATETUBA;1;SAO JOSE DOS CAMPOS;12220140;RUA;PATATIVA ;200;12;39296843;;EMEIANALUCIA@SJC.SP.GOV.BR;1;121;183;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
MUNICIPAL;20205;SAO JOSE DOS CAMPOS;1;0;85170;35085170;ANGELA DE CASTRO FERNANDES LOPES PROFA EMEI;645;SAO JOSE DOS CAMPOS;PARQUE INDUSTRIAL;1;SAO JOSE DOS CAMPOS;12235650;RUA;TURIACU ;792;12;39318518;39334594;EMEIANGELADECASTRO@SJC.SP.GOV.BR;1;193;317;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
MUNICIPAL;20205;SAO JOSE DOS CAMPOS;1;0;225472;35225472;ANJELA MARIA DE SOUZA ALVES PROFA IMI;645;SAO JOSE DOS CAMPOS;CIDADE MORUMBI;1;SAO JOSE DOS CAMPOS;12236580;AVENIDA;BENEDITO BENTO ;80;12;39315466;;IMIANJELAMARIA@SJC.SP.GOV.BR;1;114;72;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
MUNICIPAL;20205;SAO JOSE DOS CAMPOS;1;0;78153;35078153;ANTONIO PALMA SOBRINHO PROF EMEF;645;SAO JOSE DOS CAMPOS;PARQUE NOVA ESPERANCA;1;SAO JOSE DOS CAMPOS;12226170;RUA;ANGELO SCARPEL ;163;12;39071124;39073939;EMEFANTONIOPALMA@SJC.SP.GOV.BR;1;0;0;90;98;106;96;105;105;93;90;121;0;0;0;0;0;0;0;36;0;0;112;0;0;0;0;0;0;0;0;0;0;207;21;0;0;4;5;6;4;3;6;5;6;7;0;0;0;0;0;0;0;2;0;0;6;0;0;0;0;0;0;0;0;0;0;12;2
MUNICIPAL;20205;SAO JOSE DOS CAMPOS;1;0;89618;35089618;ARLINDO CAETANO FILHO PROF EMEI;645;SAO JOSE DOS CAMPOS;CONJUNTO RESIDENCIAL TRINTA E UM DE MARCO;1;SAO JOSE DOS CAMPOS;12237200;RUA;VALDEMIR DE OLIVEIRA ;42;12;39311684;;EMEIARLINDOCAETANO@SJC.SP.GOV.BR;1;162;280;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
