Nome_dependencia_Administrativa;Diretoria_de_ensino;Nome_Escola;Codigo_Municipio;Municipio;Bairro;Distrito;CEP;Complemento;Endereco;Numero;Ddd;Fone1;Fone2;Email
MUNICIPAL;SAO JOSE DOS CAMPOS;ALADIR MAIA RIBEIRO GOMES NEI;645;SAO JOSE DOS CAMPOS;JARDIM SATELITE;SAO JOSE DOS CAMPOS;12230060;RUA;PORTO NOVO ;45;12;39316902;;NEIALADIR@SJC.SP.GOV.BR
MUNICIPAL;SAO JOSE DOS CAMPOS;ALTO DA PONTE NEI;645;SAO JOSE DOS CAMPOS;ALTO DA PONTE;SAO JOSE DOS CAMPOS;12212430;RUA;ITARARE ;116;12;39416097;;EMEIPADREBONAFE@SJC.SP.GOV.BR
MUNICIPAL;SAO JOSE DOS CAMPOS;ALVARO GONCALVES PROF EMEF;645;SAO JOSE DOS CAMPOS;CAMPO DOS ALEMAES;SAO JOSE DOS CAMPOS;12239740;RUA;RUA ALBERTINA PEREIRA LIMA;151;12;39660324;39661278;EMEFALVAROGONCALVES@SJC.SP.GOV.BR
MUNICIPAL;SAO JOSE DOS CAMPOS;ANA BERLING MACEDO PROFA EMEF;645;SAO JOSE DOS CAMPOS;ALTO DA PONTE;SAO JOSE DOS CAMPOS;12212500;RUA;RUA ALZIRO LEBRAO;318;12;39216839;;EMEFANABERLING@SJC.SP.GOV.BR
MUNICIPAL;SAO JOSE DOS CAMPOS;ANA ISABEL BARBOSA PROFA NEI;645;SAO JOSE DOS CAMPOS;BUQUIRINHA;SAO JOSE DOS CAMPOS;12213790;RUA;BENEDITO DE OLIVEIRA E SILVA ;115;12;39481313;;NEIANAISABEL@SJC.SP.GOV.BR
MUNICIPAL;SAO JOSE DOS CAMPOS;ANA LUCIA DE CASTRO MICHELETO PROFA EMEI;645;SAO JOSE DOS CAMPOS;VILA TATETUBA;SAO JOSE DOS CAMPOS;12220140;RUA;PATATIVA ;200;12;39296843;;EMEIANALUCIA@SJC.SP.GOV.BR
MUNICIPAL;SAO JOSE DOS CAMPOS;ANGELA DE CASTRO FERNANDES LOPES PROFA EMEI;645;SAO JOSE DOS CAMPOS;PARQUE INDUSTRIAL;SAO JOSE DOS CAMPOS;12235650;RUA;TURIACU ;792;12;39318518;39334594;EMEIANGELADECASTRO@SJC.SP.GOV.BR
MUNICIPAL;SAO JOSE DOS CAMPOS;ANJELA MARIA DE SOUZA ALVES PROFA IMI;645;SAO JOSE DOS CAMPOS;CIDADE MORUMBI;SAO JOSE DOS CAMPOS;12236580;AVENIDA;BENEDITO BENTO ;80;12;39315466;;IMIANJELAMARIA@SJC.SP.GOV.BR
MUNICIPAL;SAO JOSE DOS CAMPOS;ANTONIO PALMA SOBRINHO PROF EMEF;645;SAO JOSE DOS CAMPOS;PARQUE NOVA ESPERANCA;SAO JOSE DOS CAMPOS;12226170;RUA;ANGELO SCARPEL ;163;12;39071124;39073939;EMEFANTONIOPALMA@SJC.SP.GOV.BR
MUNICIPAL;SAO JOSE DOS CAMPOS;ARLINDO CAETANO FILHO PROF EMEI;645;SAO JOSE DOS CAMPOS;CONJUNTO RESIDENCIAL TRINTA E UM DE MARCO;SAO JOSE DOS CAMPOS;12237200;RUA;VALDEMIR DE OLIVEIRA ;42;12;39311684;;EMEIARLINDOCAETANO@SJC.SP.GOV.BR
MUNICIPAL;SAO JOSE DOS CAMPOS;ARMILINDA LOCATELLI DE MACEDO IMI;645;SAO JOSE DOS CAMPOS;VILA TESOURO;SAO JOSE DOS CAMPOS;12221560;RUA;VITORIO CARNEVALLI ;176;12;39295149;;IMIARMILINDALOCATELLI@SJC.SP.GOV.BR
MUNICIPAL;SAO JOSE DOS CAMPOS;ARTUR APARECIDO DA ROSA EMEI;645;SAO JOSE DOS CAMPOS;JARDIM SAO JUDAS TADEU;SAO JOSE DOS CAMPOS;12228370;AVENIDA;VICENTE DE PAULO SAO;SN;12;39441765;;PLANEJAMENTOESCOLAR@SJC.SP.GOV.BR
MUNICIPAL;SAO JOSE DOS CAMPOS;AUREA CANTINHO RODRIGUES PROFA EMEF;645;SAO JOSE DOS CAMPOS;JARDIM OSWALDO CRUZ;SAO JOSE DOS CAMPOS;12216600;RUA;IRAN ;135;12;39218765;39428011;EMEFAUREACANTINHO@SJC.SP.GOV.BR
MUNICIPAL;SAO JOSE DOS CAMPOS;BAIRRO DOS FREITAS NEI DO;645;SAO JOSE DOS CAMPOS;FREITAS;SAO JOSE DOS CAMPOS;12214422;ESTRADA MUNICIPAL;JOSE BENEDITO DE OLIVEIRA ;1938;12;39482834;;NEIBAIRRODOSFREITAS@SJC.SP.GOV.BR
MUNICIPAL;SAO JOSE DOS CAMPOS;BAIRRO SAO BENEDITO EMEF;466;MONTEIRO LOBATO;SAO BENEDITO;MONTEIRO LOBATO;12250000;PRACA;RODVIA SP KM 50;SN;12;39791345;;ESCOLAFUNDAMENTAL@MONTEIROLOBATO.SP.GOV.BR
MUNICIPAL;SAO JOSE DOS CAMPOS;BENEDITO CARVALHO DOS SANTOS IMI;645;SAO JOSE DOS CAMPOS;VILA MARIA;SAO JOSE DOS CAMPOS;12209510;AVENIDA;TEOTONIO VILELA SENADOR;900;12;39215666;39225253;IMIBENEDITOCARVALHO@SJC.SP.GOV.BR
