,Nome_dependencia_Administrativa,Diretoria_de_ensino,Nome_Escola,Codigo_Municipio,Municipio,Bairro,Distrito,CEP,Complemento,Endereco,Numero,Ddd,Fone1,Fone2,Email
0,MUNICIPAL,SAO JOSE DOS CAMPOS,ALADIR MAIA RIBEIRO GOMES NEI,645,SAO JOSE DOS CAMPOS,JARDIM SATELITE,SAO JOSE DOS CAMPOS,12230060,RUA,PORTO NOVO ,45,12.0,39316902.0,,NEIALADIR@SJC.SP.GOV.BR
1,MUNICIPAL,SAO JOSE DOS CAMPOS,ALTO DA PONTE NEI,645,SAO JOSE DOS CAMPOS,ALTO DA PONTE,SAO JOSE DOS CAMPOS,12212430,RUA,ITARARE ,116,12.0,39416097.0,,EMEIPADREBONAFE@SJC.SP.GOV.BR
2,MUNICIPAL,SAO JOSE DOS CAMPOS,ALVARO GONCALVES PROF EMEF,645,SAO JOSE DOS CAMPOS,CAMPO DOS ALEMAES,SAO JOSE DOS CAMPOS,12239740,RUA,RUA ALBERTINA PEREIRA LIMA,151,12.0,39660324.0,39661278.0,EMEFALVAROGONCALVES@SJC.SP.GOV.BR
3,MUNICIPAL,SAO JOSE DOS CAMPOS,ANA BERLING MACEDO PROFA EMEF,645,SAO JOSE DOS CAMPOS,ALTO DA PONTE,SAO JOSE DOS CAMPOS,12212500,RUA,RUA ALZIRO LEBRAO,318,12.0,39216839.0,,EMEFANABERLING@SJC.SP.GOV.BR
4,MUNICIPAL,SAO JOSE DOS CAMPOS,ANA ISABEL BARBOSA PROFA NEI,645,SAO JOSE DOS CAMPOS,BUQUIRINHA,SAO JOSE DOS CAMPOS,12213790,RUA,BENEDITO DE OLIVEIRA E SILVA ,115,12.0,39481313.0,,NEIANAISABEL@SJC.SP.GOV.BR
5,MUNICIPAL,SAO JOSE DOS CAMPOS,ANA LUCIA DE CASTRO MICHELETO PROFA EMEI,645,SAO JOSE DOS CAMPOS,VILA TATETUBA,SAO JOSE DOS CAMPOS,12220140,RUA,PATATIVA ,200,12.0,39296843.0,,EMEIANALUCIA@SJC.SP.GOV.BR
6,MUNICIPAL,SAO JOSE DOS CAMPOS,ANGELA DE CASTRO FERNANDES LOPES PROFA EMEI,645,SAO JOSE DOS CAMPOS,PARQUE INDUSTRIAL,SAO JOSE DOS CAMPOS,12235650,RUA,TURIACU ,792,12.0,39318518.0,39334594.0,EMEIANGELADECASTRO@SJC.SP.GOV.BR
7,MUNICIPAL,SAO JOSE DOS CAMPOS,ANJELA MARIA DE SOUZA ALVES PROFA IMI,645,SAO JOSE DOS CAMPOS,CIDADE MORUMBI,SAO JOSE DOS CAMPOS,12236580,AVENIDA,BENEDITO BENTO ,80,12.0,39315466.0,,IMIANJELAMARIA@SJC.SP.GOV.BR
8,MUNICIPAL,SAO JOSE DOS CAMPOS,ANTONIO PALMA SOBRINHO PROF EMEF,645,SAO JOSE DOS CAMPOS,PARQUE NOVA ESPERANCA,SAO JOSE DOS CAMPOS,12226170,RUA,ANGELO SCARPEL ,163,12.0,39071124.0,39073939.0,EMEFANTONIOPALMA@SJC.SP.GOV.BR
9,MUNICIPAL,SAO JOSE DOS CAMPOS,ARLINDO CAETANO FILHO PROF EMEI,645,SAO JOSE DOS CAMPOS,CONJUNTO RESIDENCIAL TRINTA E UM DE MARCO,SAO JOSE DOS CAMPOS,12237200,RUA,VALDEMIR DE OLIVEIRA ,42,12.0,39311684.0,,EMEIARLINDOCAETANO@SJC.SP.GOV.BR
